,RoomCount,Floor,Size(m2),Age,District,Price(TL)
3103,4,-1.0,110.0,7.5,Etimesgut,2173500
3104,3,1.0,110.0,13.0,Etimesgut,2548500
3105,4,1.0,135.0,7.5,Etimesgut,2842500
3106,4,1.0,130.0,18.0,Etimesgut,3435000
3107,6,3.0,280.0,18.0,Etimesgut,4275000
3108,4,1.0,125.0,0.0,Etimesgut,5323500
3109,6,2.0,270.0,0.0,Etimesgut,11850000
3110,4,2.0,135.0,7.5,Etimesgut,3568500
3111,3,2.0,90.0,13.0,Etimesgut,3225000
3112,3,1.0,110.0,13.0,Etimesgut,3225000
3114,4,7.0,125.0,13.0,Etimesgut,4875000
3116,4,1.0,140.0,13.0,Etimesgut,3435000
3117,5,9.0,250.0,1.0,Etimesgut,11400000
3118,3,4.0,160.0,13.0,Etimesgut,2788500
3119,5,1.0,165.0,4.0,Etimesgut,4200000
3120,4,1.0,130.0,13.0,Etimesgut,5175000
3121,5,3.0,185.0,7.5,Etimesgut,8625000
3122,5,4.0,165.0,13.0,Etimesgut,3225000
3123,6,6.0,265.0,7.5,Etimesgut,9525000
3124,4,3.0,155.0,0.0,Etimesgut,5250000
3125,4,2.0,140.0,18.0,Etimesgut,4425000
3126,3,1.0,80.0,0.0,Etimesgut,5250000
3127,5,14.0,250.0,1.0,Etimesgut,10500000
3128,3,1.0,110.0,7.5,Etimesgut,2145000
3129,4,7.0,140.0,13.0,Etimesgut,5925000
3130,4,4.0,125.0,18.0,Etimesgut,2775000
3131,4,1.0,120.0,13.0,Etimesgut,3208500
3132,1,4.0,50.0,7.5,Etimesgut,2062500
3133,5,2.0,200.0,13.0,Etimesgut,11625000
3134,3,7.0,78.0,0.0,Etimesgut,5925000
3135,4,2.0,130.0,13.0,Etimesgut,3673500
3136,5,2.0,165.0,0.0,Etimesgut,5625000
3137,5,1.0,220.0,7.5,Etimesgut,8400000
3138,5,5.0,185.0,7.5,Etimesgut,5925000
3139,4,2.0,165.0,7.5,Etimesgut,4273500
3140,6,3.0,230.0,13.0,Etimesgut,3825000
3141,4,2.0,120.0,7.5,Etimesgut,3375000
3142,5,3.0,260.0,13.0,Etimesgut,4425000
3143,3,3.0,100.0,3.0,Etimesgut,4125000
3144,4,4.0,155.0,0.0,Etimesgut,6148500
