RoomCount,Floor,Size(m2),Age,District,Price(TL)
5,-2.0,160.0,7.5,Altındağ,1888500
5,0.0,160.0,7.5,Altındağ,1813500
4,2.0,130.0,13.0,Altındağ,2370000
4,1.0,130.0,0.0,Altındağ,2370000
4,3.0,128.0,0.0,Altındağ,6900000
4,2.0,131.0,0.0,Altındağ,2685000
3,-1.0,140.0,2.0,Altındağ,1987500
4,1.0,135.0,7.5,Altındağ,2197500
4,2.0,135.0,7.5,Altındağ,2220000
4,-1.0,130.0,0.0,Altındağ,2242500
4,2.0,126.0,0.0,Altındağ,3750000
3,1.0,110.0,7.5,Altındağ,1468500
5,2.0,150.0,3.0,Altındağ,5700000
3,11.0,110.0,13.0,Altındağ,1950000
4,1.0,135.0,7.5,Altındağ,4200000
3,0.0,95.0,4.0,Altındağ,3112500
4,6.0,205.0,7.5,Altındağ,6045000
4,1.0,165.0,7.5,Altındağ,4125000
4,2.0,140.0,7.5,Altındağ,2475000
4,-1.0,80.0,7.5,Altındağ,1395000
4,1.0,130.0,13.0,Altındağ,2053500
5,3.0,230.0,7.5,Altındağ,6375000
4,1.0,145.0,4.0,Altındağ,2992500
4,6.0,150.0,7.5,Altındağ,2767500
4,3.0,140.0,13.0,Altındağ,2475000
4,1.0,120.0,7.5,Altındağ,2235000
4,1.0,135.0,7.5,Altındağ,2175000
4,1.0,145.0,7.5,Altındağ,3525000
4,1.0,135.0,7.5,Altındağ,2145000
4,3.0,135.0,13.0,Altındağ,3225000
4,2.0,185.0,3.0,Altındağ,2917500
5,8.0,160.0,7.5,Altındağ,2392500
4,3.0,130.0,13.0,Altındağ,2250000
4,2.0,120.0,13.0,Altındağ,2475000
4,6.0,159.0,0.0,Altındağ,4966500
5,3.0,169.0,4.0,Altındağ,5263500
6,1.0,180.0,13.0,Altındağ,2535000
4,1.0,130.0,7.5,Altındağ,2775000
4,2.0,100.0,18.0,Altındağ,1950000
4,2.0,130.0,13.0,Altındağ,2722500
3,11.0,110.0,13.0,Altındağ,2175000
4,3.0,135.0,13.0,Altındağ,2175000
4,3.0,135.0,7.5,Altındağ,2623500
4,4.0,120.0,7.5,Altındağ,2265000
4,-1.0,125.0,13.0,Altındağ,2070000
4,3.0,155.0,4.0,Altındağ,3225000
4,-1.0,135.0,13.0,Altındağ,2055000
4,2.0,178.0,7.5,Altındağ,5700000
4,1.0,115.0,7.5,Altındağ,4200000
4,2.0,120.0,7.5,Altındağ,2475000
4,8.0,125.0,7.5,Altındağ,2475000
4,3.0,145.0,7.5,Altındağ,2662500
4,5.0,135.0,4.0,Altındağ,3900000
4,3.0,130.0,13.0,Altındağ,2392500
